location,coralType,longitude,latitude,year,value
site01,blue corals,143.515,-11.843,2010,39.78%
site01,blue corals,143.515,-11.843,2011,40.25%
site01,blue corals,143.515,-11.843,2012,50.37%
site01,blue corals,143.515,-11.843,2013,51.98%
site01,blue corals,143.515,-11.843,2014,58.98%
site01,blue corals,143.515,-11.843,2015,62.13%
site01,blue corals,143.515,-11.843,2016,65.61%
site01,blue corals,143.515,-11.843,2017,68.23%
site01,hard corals,143.515,-11.843,2011,19.34%
site01,hard corals,143.515,-11.843,2012,20.45%
site01,hard corals,143.515,-11.843,2013,39.98%
site01,hard corals,143.515,-11.843,2014,40.78%
site01,hard corals,143.515,-11.843,2015,40.99%
site01,hard corals,143.515,-11.843,2016,41.78%
site01,hard corals,143.515,-11.843,2017,44.32%
site01,sea fans,143.515,-11.843,2010,37.34%
site01,sea fans,143.515,-11.843,2012,38.56%
site01,sea fans,143.515,-11.843,2011,39.12%
site01,sea fans,143.515,-11.843,2013,40.88%
site01,sea fans,143.515,-11.843,2014,41.34%
site01,sea fans,143.515,-11.843,2015,46.87%
site01,sea fans,143.515,-11.843,2016,47.12%
site01,sea fans,143.515,-11.843,2017,47.32%
site01,sea pens,143.515,-11.843,2010,5.33%
site01,sea pens,143.515,-11.843,2011,8.12%
site01,sea pens,143.515,-11.843,2012,8.51%
site01,sea pens,143.515,-11.843,2013,8.76%
site01,sea pens,143.515,-11.843,2014,10.76%
site01,sea pens,143.515,-11.843,2015,12.45%
site01,sea pens,143.515,-11.843,2016,12.65%
site01,sea pens,143.515,-11.843,2017,15.78%
site01,soft corals,143.515,-11.843,2011,55.43%
site01,soft corals,143.515,-11.843,2010,56.29%
site01,soft corals,143.515,-11.843,2012,56.43%
site01,soft corals,143.515,-11.843,2013,57.70%
site01,soft corals,143.515,-11.843,2014,74.99%
site01,soft corals,143.515,-11.843,2015,75.34%
site01,soft corals,143.515,-11.843,2016,80.21%
site01,soft corals,143.515,-11.843,2017,83.87%
site02,blue corals,147.898,-18.937,2013,17.37%
site02,blue corals,147.898,-18.937,2014,17.79%
site02,blue corals,147.898,-18.937,2015,18.78%
site02,blue corals,147.898,-18.937,2016,21.34%
site02,blue corals,147.898,-18.937,2017,23.21%
site02,hard corals,147.898,-18.937,2013,24.77%
site02,hard corals,147.898,-18.937,2012,24.82%
site02,hard corals,147.898,-18.937,2014,24.89%
site02,hard corals,147.898,-18.937,2015,25.32%
site02,hard corals,147.898,-18.937,2016,30.12%
site02,hard corals,147.898,-18.937,2017,34.89%
site02,sea fans,147.898,-18.937,2012,45.98%
site02,sea fans,147.898,-18.937,2013,46.39%
site02,sea fans,147.898,-18.937,2014,48.50%
site02,sea fans,147.898,-18.937,2015,50.21%
site02,sea fans,147.898,-18.937,2016,54.32%
site02,sea fans,147.898,-18.937,2017,56.32%
site02,sea pens,147.898,-18.937,2012,28.61%
site02,sea pens,147.898,-18.937,2013,28.90%
site02,sea pens,147.898,-18.937,2014,29.48%
site02,sea pens,147.898,-18.937,2015,30.89%
site02,sea pens,147.898,-18.937,2016,70.12%
site02,sea pens,147.898,-18.937,2017,80.13%
site02,soft corals,147.898,-18.937,2013,14.80%
site02,soft corals,147.898,-18.937,2014,15.78%
site02,soft corals,147.898,-18.937,2015,17.21%
site02,soft corals,147.898,-18.937,2016,19.23%
site02,soft corals,147.898,-18.937,2017,21.23%
site03,hard corals,144.081,-10.321,2012,17.33%
site03,hard corals,144.081,-10.321,2013,17.65%
site03,hard corals,144.081,-10.321,2015,18.34%
site03,hard corals,144.081,-10.321,2014,18.44%
site03,hard corals,144.081,-10.321,2016,30.56%
site03,hard corals,144.081,-10.321,2017,71.34%
site03,sea fans,144.081,-10.321,2012,6.34%
site03,sea fans,144.081,-10.321,2013,8.28%
site03,sea fans,144.081,-10.321,2014,10.45%
site03,sea fans,144.081,-10.321,2015,32.45%
site03,sea fans,144.081,-10.321,2016,50.21%
site03,sea fans,144.081,-10.321,2017,75.23%
site03,sea pens,144.081,-10.321,2012,8.59%
site03,sea pens,144.081,-10.321,2013,8.79%
site03,sea pens,144.081,-10.321,2015,9.01%
site03,sea pens,144.081,-10.321,2014,9.01%
site03,sea pens,144.081,-10.321,2016,9.12%
site03,sea pens,144.081,-10.321,2017,9.34%
site03,soft corals,144.081,-10.321,2013,25.89%
site03,soft corals,144.081,-10.321,2014,26.89%
site03,soft corals,144.081,-10.321,2015,37.21%
site03,soft corals,144.081,-10.321,2016,60.23%
site03,soft corals,144.081,-10.321,2017,75.34%
site04,blue corals,150.444,-20.414,2010,26.71%
site04,blue corals,150.444,-20.414,2011,26.92%
site04,blue corals,150.444,-20.414,2012,27.87%
site04,blue corals,150.444,-20.414,2013,28.76%
site04,blue corals,150.444,-20.414,2014,29.12%
site04,blue corals,150.444,-20.414,2015,30.12%
site04,blue corals,150.444,-20.414,2016,32.45%
site04,blue corals,150.444,-20.414,2017,37.00%
site04,hard corals,150.444,-20.414,2010,15.95%
site04,hard corals,150.444,-20.414,2011,15.97%
site04,hard corals,150.444,-20.414,2012,16.89%
site04,hard corals,150.444,-20.414,2013,17.23%
site04,hard corals,150.444,-20.414,2014,23.43%
site04,hard corals,150.444,-20.414,2015,32.80%
site04,hard corals,150.444,-20.414,2016,40.23%
site04,hard corals,150.444,-20.414,2017,67.98%
site04,sea fans,150.444,-20.414,2010,22.78%
site04,sea fans,150.444,-20.414,2011,23.45%
site04,sea fans,150.444,-20.414,2012,25.12%
site04,sea fans,150.444,-20.414,2013,26.98%
site04,sea fans,150.444,-20.414,2014,27.67%
site04,sea fans,150.444,-20.414,2015,30.78%
site04,sea fans,150.444,-20.414,2016,65.23%
site04,sea fans,150.444,-20.414,2017,77.89%
site04,sea pens,150.444,-20.414,2010,26.99%
site04,sea pens,150.444,-20.414,2011,29.01%
site04,sea pens,150.444,-20.414,2012,29.18%
site04,sea pens,150.444,-20.414,2013,30.76%
site04,sea pens,150.444,-20.414,2014,34.12%
site04,sea pens,150.444,-20.414,2015,36.21%
site04,sea pens,150.444,-20.414,2016,38.23%
site04,sea pens,150.444,-20.414,2017,41.23%
site04,soft corals,150.444,-20.414,2010,10.01%
site04,soft corals,150.444,-20.414,2011,10.23%
site04,soft corals,150.444,-20.414,2012,10.67%
site04,soft corals,150.444,-20.414,2013,10.89%
site04,soft corals,150.444,-20.414,2014,10.98%
site04,soft corals,150.444,-20.414,2015,11.34%
site04,soft corals,150.444,-20.414,2016,11.78%
site04,soft corals,150.444,-20.414,2017,12.45%
site05,blue corals,143.786,-13.107,2010,49.19%
site05,blue corals,143.786,-13.107,2011,49.67%
